[Test] Rodando loop por 3600s...
  step=174500, err=0.4974, surprise=2.294
  step=175000, err=0.8087, surprise=2.076
  step=175500, err=0.8008, surprise=2.445
  step=176000, err=1.0481, surprise=3.383
  step=176500, err=0.3750, surprise=1.000
  step=177000, err=0.3409, surprise=1.000
  step=177500, err=0.0668, surprise=1.000
  step=178000, err=0.1601, surprise=1.000
  step=178500, err=0.0683, surprise=1.000
  step=179000, err=0.8543, surprise=2.378
  step=179500, err=0.0218, surprise=1.000
  step=180000, err=1.0864, surprise=3.464
  step=180500, err=0.6941, surprise=1.000
  step=181000, err=0.8623, surprise=3.077
  step=181500, err=0.8773, surprise=2.433
  step=182000, err=0.4518, surprise=1.000
  step=182500, err=0.2798, surprise=1.000
  step=183000, err=0.2764, surprise=1.000
  step=183500, err=0.7251, surprise=1.380
  step=184000, err=0.5759, surprise=1.000
  step=184500, err=0.5916, surprise=1.000
  step=185000, err=1.0807, surprise=3.450
  step=185500, err=1.0594, surprise=3.403
  step=186000, err=0.8144, surprise=2.619
  step=186500, err=1.0798, surprise=3.449
  step=187000, err=1.0754, surprise=3.484
  step=187500, err=0.0550, surprise=1.000
  step=188000, err=1.0879, surprise=3.469
  step=188500, err=0.6973, surprise=1.000
  step=189000, err=0.7127, surprise=1.564
  step=189500, err=0.3731, surprise=1.000
  step=190000, err=0.5816, surprise=1.000
  step=190500, err=0.3698, surprise=1.000
  step=191000, err=0.3280, surprise=1.000
  step=191500, err=0.5127, surprise=1.000
  step=192000, err=1.0877, surprise=3.591
  step=192500, err=0.2792, surprise=1.000
  step=193000, err=1.0524, surprise=3.296
  step=193500, err=1.0903, surprise=3.451
  step=194000, err=0.6638, surprise=1.105
  step=194500, err=0.8939, surprise=2.581
  step=195000, err=0.5599, surprise=1.000
  step=195500, err=0.2944, surprise=1.000
  step=196000, err=0.0875, surprise=1.000
  step=196500, err=0.0200, surprise=1.000
  step=197000, err=0.7162, surprise=1.346
  step=197500, err=0.0451, surprise=1.000
  step=198000, err=0.0835, surprise=1.000
  step=198500, err=1.0888, surprise=3.400
  step=199000, err=0.7624, surprise=3.710
  step=199500, err=0.7682, surprise=1.540
  step=200000, err=0.3097, surprise=1.000
  step=200500, err=1.0918, surprise=3.438
  step=201000, err=0.6806, surprise=1.034
  step=201500, err=1.0479, surprise=3.273
  step=202000, err=0.6460, surprise=1.296
  step=202500, err=0.2802, surprise=1.000
  step=203000, err=0.3271, surprise=1.000
  step=203500, err=0.8952, surprise=2.658
  step=204000, err=0.1295, surprise=1.000
  step=204500, err=1.0717, surprise=3.394
  step=205000, err=0.3379, surprise=1.000
  step=205500, err=0.8133, surprise=1.942
  step=206000, err=0.8651, surprise=2.745
  step=206500, err=1.1008, surprise=3.484
  step=207000, err=0.3493, surprise=1.000
  step=207500, err=0.0348, surprise=1.000
  step=208000, err=1.0857, surprise=3.511
  step=208500, err=0.9234, surprise=2.775
  step=209000, err=0.2767, surprise=1.000
  step=209500, err=1.0172, surprise=3.427
  step=210000, err=1.0047, surprise=3.175
  step=210500, err=0.6162, surprise=1.000
  step=211000, err=1.0366, surprise=3.330
  step=211500, err=0.1784, surprise=1.000
  step=212000, err=0.3671, surprise=1.000
  step=212500, err=0.2804, surprise=1.000
  step=213000, err=1.0241, surprise=3.159
  step=213500, err=0.2284, surprise=1.000
  step=214000, err=0.9924, surprise=3.534
  step=214500, err=1.0791, surprise=3.116
  step=215000, err=1.0184, surprise=3.223
  step=215500, err=1.0285, surprise=3.225
  step=216000, err=0.5599, surprise=1.000
  step=216500, err=0.3287, surprise=1.000
  step=217000, err=1.0569, surprise=3.602
  step=217500, err=0.0264, surprise=1.000
  step=218000, err=0.0313, surprise=1.000
  step=218500, err=0.2810, surprise=1.000
  step=219000, err=1.0761, surprise=3.489
  step=219500, err=1.0894, surprise=3.465
  step=220000, err=0.9857, surprise=3.121
  step=220500, err=0.5222, surprise=1.000
  step=221000, err=1.0924, surprise=3.462
  step=221500, err=1.0973, surprise=3.504
  step=222000, err=0.9658, surprise=3.735
  step=222500, err=0.2810, surprise=1.000
  step=223000, err=0.4154, surprise=1.000
  step=223500, err=0.5472, surprise=1.000
  step=224000, err=0.0702, surprise=1.000
  step=224500, err=0.8577, surprise=2.296
  step=225000, err=0.9740, surprise=3.050
  step=225500, err=0.1121, surprise=1.000
  step=226000, err=0.1848, surprise=1.000
  step=226500, err=0.9827, surprise=3.070
  step=227000, err=0.7555, surprise=2.588
  step=227500, err=0.0176, surprise=1.000
  step=228000, err=1.0147, surprise=3.268
  step=228500, err=0.5057, surprise=1.000
  step=229000, err=0.6772, surprise=1.000
  step=229500, err=0.9805, surprise=3.146
  step=230000, err=0.0125, surprise=1.000
  step=230500, err=1.0713, surprise=3.471
  step=231000, err=1.0011, surprise=3.157
  step=231500, err=0.2084, surprise=1.000
  step=232000, err=0.7651, surprise=3.408
  step=232500, err=0.2804, surprise=1.000
  step=233000, err=0.9592, surprise=3.034
  step=233500, err=1.0451, surprise=3.318
  step=234000, err=0.9251, surprise=2.811
  step=234500, err=0.5136, surprise=1.000
  step=235000, err=0.0275, surprise=1.000
  step=235500, err=0.8949, surprise=2.636
  step=236000, err=0.1842, surprise=1.000
  step=236500, err=0.6608, surprise=1.000
  step=237000, err=0.1433, surprise=1.000
  step=237500, err=0.0092, surprise=1.000
  step=238000, err=0.2828, surprise=1.000
  step=238500, err=1.0033, surprise=3.156
  step=239000, err=0.3897, surprise=1.000
  step=239500, err=0.7662, surprise=1.856
  step=240000, err=0.3938, surprise=1.000
  step=240500, err=0.6410, surprise=1.884
  step=241000, err=0.8173, surprise=2.056
  step=241500, err=0.9817, surprise=3.404
  step=242000, err=0.0097, surprise=1.000
  step=242500, err=0.2806, surprise=1.000
  step=243000, err=0.5313, surprise=1.000
  step=243500, err=1.0022, surprise=3.175
  step=244000, err=0.9760, surprise=2.986
  step=244500, err=0.2226, surprise=1.000
  step=245000, err=0.3535, surprise=1.000
  step=245500, err=0.9841, surprise=3.665
  step=246000, err=0.5063, surprise=1.101
  step=246500, err=0.7123, surprise=1.654
  step=247000, err=0.6640, surprise=2.847
  step=247500, err=0.0005, surprise=1.000
  step=248000, err=0.5218, surprise=1.000
  step=248500, err=1.0119, surprise=3.311
  step=249000, err=1.0885, surprise=3.402
